CountryName,Alliaria petiole,Prosopis,Phragmites australis,Prosopis juliflora,Eichhornia crassipes,Parthenium hysterophorus,Impatiens glandulifera,Bromus tectorum,Ageratina adenophores,Lantana camara,Alliaria petiole,Mikania micrantha,Microstegium vimineum,Spartina alterniflora,Alternanthera p,Triadica sebifera,common reed,Nicotiana glauca,Bromus tectorum,Bidens pilosa,Cenchrus ciliaris,Lythrum salicaria,Cabomba caroliniana
United States,4,3,6,3,2,1,4,2,4,2,2,2,2,1,3,3,2,0,2,1,1,1,2
China,0,0,3,3,2,1,1,0,3,1,0,3,0,2,4,1,0,0,0,2,0,0,1
Australia,0,1,4,3,2,3,1,1,0,2,0,1,0,1,1,0,2,0,0,1,1,1,1
United states,3,1,1,2,0,0,1,0,2,0,3,0,2,0,0,0,1,0,1,0,0,0,0
Canada,1,1,3,1,2,0,0,1,0,0,1,0,0,1,1,1,2,0,1,0,0,0,0
India,0,0,1,1,2,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Germany,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
New Zealand,2,1,2,0,0,1,3,2,0,1,0,1,0,0,1,2,0,0,1,1,0,1,1
South Africa,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
South Africa,1,2,1,2,2,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0
Kenya,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Saudi Arabia,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
France,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Argentina,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethopia,0,2,0,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
Netherlands,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Czech Republic,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Turkey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
